node_index_in_matrix_0based,index,label,network_label,label_7network,index_17network,label_17network,network_label_17network,atlas_name,network_id
144,145,RH_DorsAttn_FEF_1,DorsAttn,7Networks_RH_DorsAttn_FEF_1,141.0,17Networks_RH_DorsAttnB_FEF_1,DorsAttnB,4S256,
145,146,RH_DorsAttn_FEF_2,DorsAttn,7Networks_RH_DorsAttn_FEF_2,167.0,17Networks_RH_ContA_PFCd_1,ContA,4S256,
146,147,RH_DorsAttn_PrCv_1,DorsAttn,7Networks_RH_DorsAttn_PrCv_1,168.0,17Networks_RH_ContA_PFCl_1,ContA,4S256,
147,148,RH_SalVentAttn_TempOccPar_1,SalVentAttn,7Networks_RH_SalVentAttn_TempOccPar_1,199.0,17Networks_RH_TempPar_3,TempPar,4S256,
148,149,RH_SalVentAttn_TempOccPar_2,SalVentAttn,7Networks_RH_SalVentAttn_TempOccPar_2,200.0,17Networks_RH_TempPar_4,TempPar,4S256,
149,150,RH_SalVentAttn_TempOccPar_3,SalVentAttn,7Networks_RH_SalVentAttn_TempOccPar_3,142.0,17Networks_RH_SalVentAttnA_ParOper_1,SalVentAttnA,4S256,
150,151,RH_SalVentAttn_PrC_1,SalVentAttn,7Networks_RH_SalVentAttn_PrC_1,143.0,17Networks_RH_SalVentAttnA_PrC_1,SalVentAttnA,4S256,
151,152,RH_SalVentAttn_FrOperIns_1,SalVentAttn,7Networks_RH_SalVentAttn_FrOperIns_1,144.0,17Networks_RH_SalVentAttnA_Ins_1,SalVentAttnA,4S256,
152,153,RH_SalVentAttn_FrOperIns_2,SalVentAttn,7Networks_RH_SalVentAttn_FrOperIns_2,145.0,17Networks_RH_SalVentAttnA_Ins_2,SalVentAttnA,4S256,
153,154,RH_SalVentAttn_FrOperIns_3,SalVentAttn,7Networks_RH_SalVentAttn_FrOperIns_3,155.0,17Networks_RH_SalVentAttnB_Ins_2,SalVentAttnB,4S256,
154,155,RH_SalVentAttn_FrOperIns_4,SalVentAttn,7Networks_RH_SalVentAttn_FrOperIns_4,146.0,17Networks_RH_SalVentAttnA_FrOper_1,SalVentAttnA,4S256,
155,156,RH_SalVentAttn_Med_1,SalVentAttn,7Networks_RH_SalVentAttn_Med_1,147.0,17Networks_RH_SalVentAttnA_FrMed_1,SalVentAttnA,4S256,
156,157,RH_SalVentAttn_Med_2,SalVentAttn,7Networks_RH_SalVentAttn_Med_2,149.0,17Networks_RH_SalVentAttnA_ParMed_2,SalVentAttnA,4S256,
157,158,RH_SalVentAttn_Med_3,SalVentAttn,7Networks_RH_SalVentAttn_Med_3,150.0,17Networks_RH_SalVentAttnA_FrMed_2,SalVentAttnA,4S256,
158,159,RH_Limbic_OFC_1,Limbic,7Networks_RH_Limbic_OFC_1,157.0,17Networks_RH_LimbicB_OFC_1,LimbicB,4S256,
159,160,RH_Limbic_OFC_2,Limbic,7Networks_RH_Limbic_OFC_2,158.0,17Networks_RH_LimbicB_OFC_2,LimbicB,4S256,
160,161,RH_Limbic_OFC_3,Limbic,7Networks_RH_Limbic_OFC_3,160.0,17Networks_RH_LimbicB_OFC_4,LimbicB,4S256,
161,162,RH_Limbic_TempPole_1,Limbic,7Networks_RH_Limbic_TempPole_1,161.0,17Networks_RH_LimbicA_TempPole_1,LimbicA,4S256,
162,163,RH_Limbic_TempPole_2,Limbic,7Networks_RH_Limbic_TempPole_2,162.0,17Networks_RH_LimbicA_TempPole_2,LimbicA,4S256,
163,164,RH_Limbic_TempPole_3,Limbic,7Networks_RH_Limbic_TempPole_3,163.0,17Networks_RH_LimbicA_TempPole_3,LimbicA,4S256,
164,165,RH_Cont_Par_1,Cont,7Networks_RH_Cont_Par_1,151.0,17Networks_RH_SalVentAttnB_IPL_1,SalVentAttnB,4S256,
165,166,RH_Cont_Par_2,Cont,7Networks_RH_Cont_Par_2,174.0,17Networks_RH_ContB_IPL_2,ContB,4S256,
166,167,RH_Cont_Par_3,Cont,7Networks_RH_Cont_Par_3,165.0,17Networks_RH_ContA_IPS_1,ContA,4S256,
167,168,RH_Cont_Temp_1,Cont,7Networks_RH_Cont_Temp_1,172.0,17Networks_RH_ContB_Temp_2,ContB,4S256,
168,169,RH_Cont_PFCv_1,Cont,7Networks_RH_Cont_PFCv_1,154.0,17Networks_RH_SalVentAttnB_Ins_1,SalVentAttnB,4S256,
169,170,RH_Cont_PFCl_1,Cont,7Networks_RH_Cont_PFCl_1,177.0,17Networks_RH_ContB_PFClv_1,ContB,4S256,
170,171,RH_Cont_PFCl_2,Cont,7Networks_RH_Cont_PFCl_2,178.0,17Networks_RH_ContB_PFClv_2,ContB,4S256,
171,172,RH_Cont_PFCl_3,Cont,7Networks_RH_Cont_PFCl_3,152.0,17Networks_RH_SalVentAttnB_PFClv_1,SalVentAttnB,4S256,
172,173,RH_Cont_PFCl_4,Cont,7Networks_RH_Cont_PFCl_4,169.0,17Networks_RH_ContA_PFCl_2,ContA,4S256,
173,174,RH_Cont_PFCl_5,Cont,7Networks_RH_Cont_PFCl_5,153.0,17Networks_RH_SalVentAttnB_PFCl_1,SalVentAttnB,4S256,
174,175,RH_Cont_PFCl_6,Cont,7Networks_RH_Cont_PFCl_6,175.0,17Networks_RH_ContB_PFCld_1,ContB,4S256,
175,176,RH_Cont_PFCl_7,Cont,7Networks_RH_Cont_PFCl_7,176.0,17Networks_RH_ContB_PFCld_2,ContB,4S256,
176,177,RH_Cont_pCun_1,Cont,7Networks_RH_Cont_pCun_1,181.0,17Networks_RH_ContC_pCun_1,ContC,4S256,
177,178,RH_Cont_Cing_1,Cont,7Networks_RH_Cont_Cing_1,183.0,17Networks_RH_ContC_Cingp_1,ContC,4S256,
